Latitude,Longitude,Gender,SeniorCitizen,Partner,Dependents,TenureMonths,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,AvgMonthlySpend,NumServices,ChargesPerService,ChurnValue
33.174725,-116.743329,1,0,1,1,5,1,0,DSL,1,0,0,0,0,0,Month-to-month,1,Mailed check,49.4,232.55,46.510000000000005,2,16.466666666666665,0
34.406256,-119.726936,1,0,0,0,2,1,0,DSL,1,0,0,0,0,0,Month-to-month,0,Mailed check,50.95,123.05,61.525,2,16.983333333333334,0
37.333851,-121.891147,0,0,1,1,30,1,1,DSL,1,1,1,1,0,0,Month-to-month,0,Electronic check,67.6,2000.2,66.67333333333333,6,9.657142857142857,0
38.486502,-121.334051,0,0,1,0,36,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,95.4,3474.2,96.50555555555555,4,19.080000000000002,0
40.485849,-124.163234,1,0,1,1,55,1,0,Fiber optic,0,0,0,0,0,0,Two year,1,Credit card (automatic),69.05,3842.6,69.86545454545454,1,34.525,0
34.003243,-117.138286,1,0,0,0,31,1,1,Fiber optic,1,0,1,0,0,0,Month-to-month,1,Credit card (automatic),84.75,2613.4,84.30322580645162,4,16.95,0
32.980678,-116.262854,1,1,1,1,28,0,0,DSL,0,0,0,0,1,0,Month-to-month,1,Electronic check,35.9,973.65,34.77321428571428,1,17.95,0
34.044639,-118.240413,0,0,0,0,16,1,0,0,0,0,0,0,0,0,Two year,0,Credit card (automatic),18.95,326.8,20.425,1,9.475,0
39.239818,-123.565432,0,0,0,0,6,1,0,0,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),20.15,130.5,21.75,1,10.075,0
40.726949,-124.217378,0,1,1,0,27,1,1,Fiber optic,1,0,1,0,0,0,One year,1,Electronic check,85.9,2220.1,82.22592592592592,4,17.18,0
38.925545,-122.549083,0,0,0,0,58,1,1,0,0,0,0,0,0,0,Two year,1,Credit card (automatic),25.3,1474.35,25.419827586206896,2,8.433333333333334,0
34.965648,-117.001509,0,0,1,1,72,1,1,Fiber optic,1,1,1,1,0,1,Two year,1,Credit card (automatic),104.9,7732.65,107.39791666666666,7,13.1125,0
32.853743,-117.25034,1,0,0,0,28,0,0,DSL,0,0,1,1,0,0,Month-to-month,1,Mailed check,35.75,961.4,34.33571428571428,2,11.916666666666666,0
34.18454,-119.224666,0,0,1,1,40,1,0,Fiber optic,0,0,1,0,1,0,One year,1,Electronic check,85.05,3355.65,83.89125,3,21.2625,0
32.805518,-117.169052,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.5,20.5,20.5,1,10.25,1
38.135897,-122.563683,1,0,0,0,5,1,0,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,80.0,412.5,82.5,2,26.666666666666668,1
39.117537,-122.284654,1,0,0,0,1,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,69.2,69.2,69.2,1,34.6,1
37.721052,-122.413573,1,0,0,1,12,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,105.3,1275.65,106.30416666666667,6,15.042857142857143,0
35.824572,-116.274755,0,0,0,0,5,1,0,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Electronic check,96.1,453.4,90.67999999999999,4,19.22,1
38.471049,-123.015549,0,0,1,0,71,1,0,DSL,1,1,1,1,1,1,Two year,1,Bank transfer (automatic),86.1,6045.9,85.15352112676055,7,10.7625,0
37.546007,-121.28257,0,0,0,0,3,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,76.95,228.4,76.13333333333334,2,25.650000000000002,1
38.434138,-121.30587,1,0,1,0,30,1,0,0,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),19.65,655.85,21.861666666666668,1,9.825,1
34.741406,-118.38111,1,0,1,0,25,1,0,0,0,0,0,0,0,0,One year,1,Bank transfer (automatic),20.2,507.9,20.316,1,10.1,0
39.194539,-120.988066,0,0,1,1,52,1,1,0,0,0,0,0,0,0,Two year,0,Mailed check,24.55,1331.05,25.597115384615385,2,8.183333333333334,0
36.798882,-120.019511,1,1,0,0,46,1,1,Fiber optic,1,1,1,0,1,1,One year,1,Electronic check,110.0,4874.8,105.97391304347826,7,13.75,1
33.844983,-117.952151,0,0,0,0,9,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,70.5,597.9,66.43333333333334,1,35.25,0
34.95703,-117.73045,1,0,1,0,19,1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,86.85,1564.4,82.33684210526316,3,21.7125,0
37.361987,-120.748394,1,0,0,0,12,1,0,DSL,0,1,0,0,0,0,Month-to-month,1,Electronic check,49.4,611.65,50.97083333333333,2,16.466666666666665,0
33.703976,-117.824172,0,1,1,0,45,1,1,Fiber optic,0,1,1,1,1,0,One year,1,Bank transfer (automatic),98.7,4525.8,100.57333333333334,6,14.1,0
41.737962,-123.07557,1,0,1,1,36,1,1,Fiber optic,1,0,1,0,1,1,Month-to-month,1,Credit card (automatic),104.5,3684.95,102.35972222222222,6,14.928571428571429,0
33.889605,-115.257009,0,0,0,0,38,1,1,Fiber optic,0,1,1,0,0,1,Month-to-month,1,Credit card (automatic),95.1,3691.2,97.13684210526316,5,15.85,0
37.222842,-121.988727,0,0,1,1,1,1,0,0,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.2,19.2,19.2,1,9.6,0
38.200231,-121.235034,0,0,1,0,10,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,98.5,1037.75,103.775,5,16.416666666666668,1
34.146635,-118.139225,0,0,1,1,13,1,0,DSL,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),44.8,559.2,43.01538461538462,1,22.4,0
37.750021,-122.415201,0,0,0,0,18,1,1,DSL,0,0,1,1,1,1,One year,1,Credit card (automatic),82.0,1425.45,79.19166666666666,6,11.714285714285714,1
32.555828,-117.040073,1,0,1,0,37,0,0,DSL,1,0,0,1,1,0,Two year,0,Electronic check,45.4,1593.1,43.056756756756755,3,11.35,0
39.467828,-120.841386,0,0,0,1,5,1,0,0,0,0,0,0,0,0,Month-to-month,0,Credit card (automatic),20.35,122.0,24.4,1,10.175,0
33.850452,-117.726668,0,0,0,0,11,1,0,Fiber optic,0,1,0,0,0,0,Month-to-month,0,Electronic check,74.95,815.5,74.13636363636364,2,24.983333333333334,1
36.657462,-119.595293,0,0,0,1,64,1,0,Fiber optic,0,1,0,1,1,1,Month-to-month,1,Credit card (automatic),99.15,6171.2,96.425,5,16.525000000000002,0
37.59485,-122.051521,0,0,0,0,1,1,0,DSL,0,0,0,0,0,1,Month-to-month,0,Mailed check,55.55,55.55,55.55,2,18.516666666666666,0
34.234912,-118.153729,0,1,1,0,37,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,92.5,3473.4,93.87567567567568,4,18.5,1
37.304681,-121.809955,1,0,1,1,48,1,1,Fiber optic,1,1,0,0,1,1,Month-to-month,1,Credit card (automatic),105.25,4997.5,104.11458333333333,6,15.035714285714286,0
36.057458,-118.591951,0,1,1,0,20,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,94.55,1899.65,94.9825,4,18.91,1
33.960891,-118.032222,1,0,0,0,26,1,1,DSL,1,1,0,0,1,0,Month-to-month,1,Bank transfer (automatic),69.5,1800.05,69.2326923076923,5,11.583333333333334,0
33.728273,-118.085304,1,0,0,0,30,1,0,0,0,0,0,0,0,0,Two year,0,Credit card (automatic),19.4,578.5,19.283333333333335,1,9.7,0
37.605926,-120.69955,1,0,0,0,69,1,1,DSL,1,1,0,1,0,0,Two year,1,Mailed check,66.9,4577.9,66.3463768115942,5,11.15,0
36.205465,-119.085807,0,0,1,0,63,1,1,DSL,1,1,1,1,1,1,Two year,1,Credit card (automatic),89.4,5597.65,88.8515873015873,8,9.933333333333334,0
37.80821,-121.308401,0,0,1,0,5,1,0,0,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.35,126.05,25.21,1,9.675,1
38.156971,-120.849231,0,0,1,0,39,1,0,0,0,0,0,0,0,0,Two year,1,Bank transfer (automatic),20.45,790.0,20.256410256410255,1,10.225,0
39.197215,-120.83679,0,0,0,0,4,1,1,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Electronic check,101.7,364.55,91.1375,5,16.95,1
37.270938,-121.851046,0,0,1,0,60,1,1,Fiber optic,0,0,1,0,1,1,Two year,0,Credit card (automatic),101.15,6067.4,101.12333333333332,5,16.858333333333334,0
37.375156,-121.795867,0,0,1,0,19,1,1,Fiber optic,0,0,1,1,1,1,Month-to-month,0,Electronic check,103.3,2012.7,105.93157894736842,6,14.757142857142856,1
33.839989,-116.659215,1,0,1,0,11,1,1,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Electronic check,102.0,1145.35,104.12272727272726,5,17.0,1
36.497895,-119.285484,1,1,0,0,31,1,1,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Electronic check,99.95,3186.65,102.79516129032258,5,16.658333333333335,1
33.766476,-117.969795,0,0,0,0,30,1,0,Fiber optic,1,1,1,0,0,0,Month-to-month,1,Credit card (automatic),84.3,2438.6,81.28666666666666,4,16.86,0
34.266389,-118.459744,0,0,0,0,53,1,1,0,0,0,0,0,0,0,Two year,0,Mailed check,24.6,1279.0,24.132075471698112,2,8.200000000000001,0
36.807595,-118.901544,1,0,0,0,5,1,0,Fiber optic,0,1,0,1,0,1,Month-to-month,1,Electronic check,89.35,461.7,92.34,4,17.869999999999997,1
39.84784,-122.544556,0,1,0,0,51,1,1,Fiber optic,0,1,0,0,0,0,One year,1,Bank transfer (automatic),79.6,3974.7,77.93529411764706,3,19.9,0
37.3511,-122.037311,1,0,1,0,71,1,1,DSL,1,1,1,1,1,1,Two year,0,Credit card (automatic),89.3,6388.65,89.98098591549295,8,9.922222222222222,0
34.142747,-117.300864,1,0,0,1,61,1,1,0,0,0,0,0,0,0,Two year,1,Credit card (automatic),25.0,1498.35,24.563114754098358,2,8.333333333333334,0
32.827184,-116.703729,0,1,0,0,8,1,0,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Electronic check,74.5,606.55,75.81875,2,24.833333333333332,1
38.803731,-121.043799,0,0,1,0,10,1,0,DSL,1,0,0,1,0,0,Month-to-month,1,Credit card (automatic),54.95,568.85,56.885000000000005,3,13.7375,0
37.04584,-118.397236,1,0,1,0,12,0,0,DSL,0,0,1,0,1,1,Month-to-month,1,Bank transfer (automatic),49.85,617.15,51.42916666666667,3,12.4625,0
33.723579,-118.005441,0,0,1,0,66,1,1,DSL,0,0,0,1,0,1,Month-to-month,0,Electronic check,63.85,4264.6,64.61515151515152,4,12.77,0
36.749403,-119.787574,0,0,0,0,24,1,0,DSL,1,1,0,1,0,0,Month-to-month,0,Bank transfer (automatic),60.45,1440.75,60.03125,4,12.09,0
33.794209,-118.317354,1,0,1,1,4,1,0,DSL,0,1,0,1,0,0,Month-to-month,0,Mailed check,56.5,235.1,58.775,3,14.125,1
33.975332,-118.355252,1,0,0,0,4,1,1,Fiber optic,0,1,0,0,0,1,Month-to-month,1,Electronic check,88.95,355.2,88.8,4,17.79,1
33.936827,-118.359824,1,0,0,1,35,1,0,DSL,1,1,0,0,0,0,One year,0,Credit card (automatic),55.6,2016.45,57.612857142857145,3,13.9,0
34.321621,-118.399841,1,1,0,0,45,1,0,Fiber optic,1,1,0,1,0,0,Month-to-month,1,Bank transfer (automatic),85.7,3778.1,83.95777777777778,4,17.14,0
37.80707,-122.297401,0,0,0,0,65,1,1,Fiber optic,1,0,1,1,1,1,One year,1,Credit card (automatic),110.0,7138.65,109.8253846153846,7,13.75,0
33.823943,-118.111335,1,0,1,1,14,1,0,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Bank transfer (automatic),80.9,1152.8,82.34285714285714,2,26.96666666666667,0
33.254497,-117.285879,1,0,1,1,61,0,0,DSL,1,1,0,1,0,1,One year,1,Bank transfer (automatic),50.7,3088.75,50.635245901639344,4,10.14,0
38.196497,-120.61689,0,0,1,1,68,1,0,Fiber optic,1,0,1,0,0,0,Two year,0,Credit card (automatic),80.35,5375.15,79.04632352941177,3,20.0875,0
39.562239,-121.14836,1,0,1,0,23,1,0,DSL,1,1,0,1,0,0,One year,1,Mailed check,57.75,1282.85,55.77608695652174,4,11.55,0
40.740138,-122.587476,1,0,0,0,55,1,0,Fiber optic,0,1,1,0,0,0,Month-to-month,1,Electronic check,81.55,4509.5,81.99090909090908,3,20.3875,0
33.716136,-117.752574,0,0,1,1,69,1,1,0,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),24.45,1718.2,24.90144927536232,2,8.15,0
36.810568,-121.503022,1,0,1,0,7,1,0,DSL,1,0,1,1,1,1,Month-to-month,0,Bank transfer (automatic),81.25,580.1,82.87142857142858,6,11.607142857142858,0
35.746484,-121.223355,1,0,1,0,72,1,1,Fiber optic,1,0,0,0,0,0,Two year,0,Bank transfer (automatic),79.05,5730.7,79.59305555555555,3,19.7625,0
37.454924,-122.203168,1,0,1,1,61,1,0,DSL,1,0,0,0,0,0,One year,1,Bank transfer (automatic),49.7,2961.4,48.54754098360656,2,16.566666666666666,0
39.423046,-120.984472,0,1,1,0,64,1,0,Fiber optic,1,0,1,0,0,0,One year,0,Credit card (automatic),80.3,5017.7,78.4015625,3,20.075,0
34.55082,-117.122396,1,1,1,0,32,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,93.2,2931.0,91.59375,4,18.64,1
34.207295,-118.400022,1,0,0,0,1,1,1,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Mailed check,79.55,79.55,79.55,3,19.8875,1
37.212191,-119.749323,0,0,0,0,3,1,0,Fiber optic,1,0,0,1,0,0,Month-to-month,1,Mailed check,82.3,214.4,71.46666666666667,3,20.575,0
37.420273,-120.66527,0,0,0,1,3,1,0,0,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),20.2,50.6,16.866666666666667,1,10.1,0
36.993666,-119.348267,1,0,1,0,72,1,1,DSL,1,0,1,1,1,1,Two year,1,Credit card (automatic),84.4,6096.45,84.67291666666667,7,10.55,0
39.075694,-121.70606,1,0,0,1,26,0,0,DSL,0,0,1,0,0,0,Month-to-month,1,Mailed check,29.8,786.5,30.25,1,14.9,0
34.281911,-118.556218,0,0,0,0,39,1,0,Fiber optic,1,0,1,0,1,1,Two year,1,Electronic check,100.45,3801.7,97.47948717948718,5,16.741666666666667,0
40.080342,-120.957805,1,0,0,0,1,1,0,0,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.55,19.55,19.55,1,9.775,0
33.802664,-118.179971,1,0,0,0,1,1,0,0,0,0,0,0,0,0,Month-to-month,1,Mailed check,19.5,19.5,19.5,1,9.75,0
35.865795,-118.69759,1,0,1,1,56,1,0,Fiber optic,0,0,0,0,1,1,One year,0,Bank transfer (automatic),88.9,4968.0,88.71428571428571,3,22.225,0
34.083086,-117.737997,1,1,1,0,43,1,1,Fiber optic,0,0,1,1,1,1,One year,1,Electronic check,107.55,4533.9,105.43953488372092,6,15.364285714285714,1
34.018354,-117.85492,1,0,0,1,1,1,1,0,0,0,0,0,0,0,Month-to-month,0,Mailed check,25.4,25.4,25.4,2,8.466666666666667,0
34.234912,-118.153729,0,0,0,0,29,1,1,DSL,0,1,1,0,0,1,One year,0,Credit card (automatic),70.9,1964.6,67.7448275862069,5,11.816666666666668,0
35.74837,-117.384948,0,0,0,0,2,1,1,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Electronic check,82.0,184.65,92.325,3,20.5,1
41.411315,-122.697236,0,0,0,0,68,1,0,Fiber optic,0,1,1,0,0,0,One year,0,Credit card (automatic),79.6,5461.45,80.31544117647059,3,19.9,0
38.481902,-120.603668,0,0,1,1,67,1,1,Fiber optic,0,1,0,0,0,1,Month-to-month,1,Bank transfer (automatic),89.55,6373.1,95.12089552238807,4,17.91,0
39.292334,-121.320597,1,0,1,1,19,1,1,0,0,0,0,0,0,0,Two year,1,Bank transfer (automatic),24.9,467.7,24.61578947368421,2,8.299999999999999,0
34.02381,-118.156582,0,0,1,1,66,0,0,DSL,0,1,1,0,1,1,Two year,1,Credit card (automatic),56.75,3708.4,56.18787878787879,4,11.35,0
34.066964,-117.937007,1,0,1,0,4,0,0,DSL,1,0,0,0,0,0,Month-to-month,1,Electronic check,29.05,129.6,32.4,1,14.525,0
38.508735,-121.678813,1,0,1,1,9,1,0,0,0,0,0,0,0,0,Two year,0,Mailed check,19.75,210.65,23.405555555555555,1,9.875,0
37.937082,-122.532369,0,1,1,0,53,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,103.85,5485.5,103.5,6,14.835714285714285,1
37.828416,-122.216005,1,0,0,0,23,1,0,0,0,0,0,0,0,0,Month-to-month,1,Mailed check,19.5,470.2,20.443478260869565,1,9.75,0
36.993666,-119.348267,1,0,1,0,50,1,1,Fiber optic,1,1,0,1,1,1,One year,0,Electronic check,108.55,5610.7,112.214,7,13.56875,1
37.980269,-122.342635,0,0,0,0,2,1,0,Fiber optic,0,1,0,0,0,0,Month-to-month,0,Electronic check,74.95,151.75,75.875,2,24.983333333333334,0
34.029043,-118.239504,1,0,1,0,59,1,0,0,0,0,0,0,0,0,One year,0,Mailed check,20.35,1267.0,21.47457627118644,1,10.175,0
33.764018,-117.931507,0,0,1,0,63,1,1,DSL,1,1,1,0,1,1,Two year,0,Credit card (automatic),83.5,5435.0,86.26984126984127,7,10.4375,0
34.269449,-118.768471,1,0,1,0,25,1,0,DSL,1,1,0,1,0,1,Month-to-month,1,Mailed check,71.05,1837.7,73.508,5,11.841666666666667,0
36.456091,-119.486225,1,0,0,0,14,1,1,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Electronic check,80.45,1072.0,76.57142857142857,3,20.1125,1
36.596271,-121.442274,0,0,1,0,65,1,1,DSL,1,1,1,0,0,0,One year,0,Credit card (automatic),67.05,4309.55,66.30076923076923,5,11.174999999999999,0
34.712708,-117.889656,0,1,1,0,69,0,0,DSL,1,1,0,0,1,1,Two year,0,Credit card (automatic),56.55,3952.65,57.28478260869565,4,11.309999999999999,0
33.624654,-117.611733,1,0,1,0,21,1,0,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Bank transfer (automatic),74.05,1565.7,74.55714285714286,2,24.683333333333334,1
34.150354,-118.518292,0,0,1,1,43,1,1,Fiber optic,1,0,1,1,0,0,One year,1,Credit card (automatic),91.25,4013.8,93.34418604651164,5,15.208333333333334,0
38.983388,-120.988814,0,1,1,0,71,1,1,Fiber optic,1,1,1,1,0,0,One year,1,Electronic check,92.0,6585.2,92.74929577464789,6,13.142857142857142,0
33.62251,-117.927024,0,0,0,1,19,0,0,DSL,0,0,0,0,0,0,Month-to-month,1,Credit card (automatic),25.35,566.1,29.794736842105266,0,25.35,0
33.925833,-117.559639,1,0,0,0,40,1,0,0,0,0,0,0,0,0,Two year,0,Credit card (automatic),19.65,830.25,20.75625,1,9.825,0
37.57028,-122.365778,1,0,0,0,9,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,83.3,803.3,89.25555555555555,3,20.825,1
36.687292,-120.437354,0,0,0,0,58,1,1,Fiber optic,0,1,1,0,1,1,One year,1,Bank transfer (automatic),103.25,6017.65,103.75258620689655,6,14.75,1
33.62251,-117.927024,1,0,0,0,1,1,0,0,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),19.9,19.9,19.9,1,9.95,0
40.426679,-121.850421,0,0,1,1,47,1,1,Fiber optic,1,1,1,1,1,1,One year,1,Bank transfer (automatic),113.45,5317.8,113.14468085106384,8,12.605555555555556,0
39.342587,-121.249833,1,0,1,0,58,1,1,DSL,1,0,1,1,1,1,Two year,1,Electronic check,84.3,4916.4,84.7655172413793,7,10.5375,0
39.182916,-123.552571,0,0,0,0,40,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Mailed check,102.65,4108.15,102.70374999999999,6,14.664285714285715,0
39.082568,-121.55325,1,0,0,0,41,1,1,DSL,0,0,1,1,0,1,One year,1,Electronic check,68.6,2877.05,70.1719512195122,5,11.433333333333332,0
34.907911,-119.234281,0,0,1,0,67,1,0,Fiber optic,1,1,0,0,1,1,One year,1,Credit card (automatic),100.9,6733.15,100.49477611940299,5,16.816666666666666,0
33.634626,-117.874882,0,1,0,0,34,1,0,Fiber optic,0,1,1,0,1,1,One year,1,Electronic check,99.85,3343.15,98.32794117647059,5,16.641666666666666,0
33.313828,-116.940501,0,0,0,0,3,1,0,0,0,0,0,0,0,0,Month-to-month,1,Mailed check,19.1,53.05,17.683333333333334,1,9.55,0
33.918043,-117.617809,1,1,1,0,60,1,1,Fiber optic,1,1,1,1,1,1,Two year,1,Bank transfer (automatic),116.05,6925.9,115.43166666666666,8,12.894444444444444,0
37.872902,-122.303708,1,1,0,0,8,1,0,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,92.1,729.95,91.24375,4,18.419999999999998,1
39.955164,-122.018567,0,0,1,0,15,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),74.9,1107.25,73.81666666666666,2,24.96666666666667,1
34.084747,-117.886844,0,0,0,0,68,1,1,Fiber optic,1,1,1,0,0,1,Two year,1,Bank transfer (automatic),102.1,7149.35,105.1375,6,14.585714285714285,0
37.774633,-122.274434,0,1,1,0,71,1,1,0,0,0,0,0,0,0,Two year,0,Credit card (automatic),25.45,1789.65,25.206338028169014,2,8.483333333333333,0
38.550722,-121.457314,1,0,0,0,58,1,1,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),79.8,4526.85,78.0491379310345,3,19.95,0
37.654436,-122.426468,0,1,0,0,2,1,0,0,0,0,0,0,0,0,Month-to-month,0,Electronic check,19.2,37.2,18.6,1,9.6,0
33.999992,-117.535395,1,0,1,0,14,1,0,Fiber optic,0,1,0,1,0,1,Month-to-month,1,Credit card (automatic),89.65,1208.35,86.31071428571428,4,17.93,1
34.007353,-118.033683,1,0,1,0,71,1,0,0,0,0,0,0,0,0,Two year,1,Bank transfer (automatic),20.9,1493.2,21.03098591549296,1,10.45,0
34.631362,-120.238218,0,0,0,0,14,1,1,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Electronic check,100.55,1415.55,101.11071428571428,5,16.758333333333333,1
38.481902,-120.603668,1,0,0,0,6,0,0,DSL,1,1,0,1,0,1,Month-to-month,0,Credit card (automatic),50.95,307.6,51.26666666666667,4,10.190000000000001,0
33.752524,-118.210737,0,0,1,1,15,1,0,DSL,0,1,1,1,0,1,Month-to-month,1,Mailed check,69.5,1071.4,71.42666666666668,5,11.583333333333334,0
36.414216,-121.360597,0,0,1,1,57,1,0,Fiber optic,0,1,1,0,1,1,One year,1,Credit card (automatic),97.55,5598.0,98.21052631578948,5,16.258333333333333,0
38.085839,-120.37855,1,0,0,0,66,1,0,DSL,1,1,1,0,0,0,Two year,1,Bank transfer (automatic),61.15,4017.45,60.87045454545454,4,12.23,0
39.955587,-123.681175,0,1,1,0,69,1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Electronic check,89.95,6143.15,89.03115942028985,4,17.990000000000002,1
32.858595,-115.662709,1,0,1,0,68,1,0,DSL,1,0,0,1,0,0,One year,0,Bank transfer (automatic),55.9,3848.8,56.6,3,13.975,0
38.368744,-122.522642,0,1,0,1,56,1,0,Fiber optic,1,0,0,0,1,1,One year,0,Credit card (automatic),94.8,5264.3,94.00535714285715,4,18.96,0
38.140719,-121.838298,0,1,0,0,35,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,99.05,3395.8,97.02285714285715,5,16.508333333333333,1
35.916943,-120.129921,1,0,1,0,43,1,0,DSL,0,0,0,0,1,0,Month-to-month,0,Electronic check,56.15,2499.3,58.12325581395349,2,18.716666666666665,1
38.922812,-121.312005,0,0,1,0,31,1,0,DSL,0,0,1,1,0,1,Month-to-month,1,Credit card (automatic),66.4,2019.8,65.15483870967742,4,13.280000000000001,0
33.716136,-117.752574,1,0,1,0,33,1,0,DSL,1,1,1,0,0,0,One year,1,Mailed check,58.45,1955.4,59.25454545454546,4,11.690000000000001,0
37.529656,-120.854357,0,0,0,0,1,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,69.35,69.35,69.35,1,34.675,1
40.825486,-124.049485,0,0,0,0,44,1,0,Fiber optic,0,0,1,1,1,1,Two year,0,Bank transfer (automatic),100.1,4378.35,99.50795454545455,5,16.683333333333334,0
34.153733,-118.593408,1,0,1,1,57,1,0,DSL,1,1,0,0,0,0,One year,0,Electronic check,53.45,3053.0,53.56140350877193,3,13.3625,0
38.505995,-123.187019,0,0,0,1,70,1,1,DSL,1,1,0,1,0,0,One year,0,Bank transfer (automatic),64.95,4551.5,65.02142857142857,5,10.825000000000001,0
33.351059,-117.420557,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Month-to-month,0,Credit card (automatic),20.55,20.55,20.55,1,10.275,0
35.924252,-116.188668,0,0,1,1,55,1,0,DSL,0,0,1,1,0,0,Two year,1,Credit card (automatic),55.25,3119.9,56.72545454545455,3,13.8125,0
37.161544,-121.649371,0,1,1,0,29,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,94.45,2653.65,91.5051724137931,4,18.89,1
